latitude,longitude,FID,id,st_area(shape),st_perimeter(shape),
0,0,228,393,2.095844558550891e-7,0.0020980947783034087,
0,0,229,394,7.986132043056378e-7,0.004010576461417716,
0,0,230,395,2.633266485276874e-7,0.0024128242210305767,
0,0,231,396,5.3398059134361476e-8,0.0010574087246481144,
0,0,232,397,1.0650161031738589e-7,0.0015415021812503048,
0,0,233,398,0.0000014404489475488358,0.005329082638534766,
0,0,234,399,0.0000055524219615300435,0.0158833247242008,
0,0,235,401,0.0000025043015587949945,0.008080341212989974,
0,0,236,402,5.340582010433202e-8,0.0010575178735373063,
0,0,237,404,4.41291923039674e-7,0.0030740010209073403,
0,0,238,405,6.707690254683002e-7,0.003309638834209159,
0,0,239,406,5.340174774538256e-8,0.0010574509813908199,
0,0,240,407,0.000001069958201069227,0.0048377434037295405,
0,0,241,408,0.0000010325677630170755,0.004297711399310979,
0,0,242,409,9.67427055099658e-7,0.004880541056679697,
0,0,243,411,2.5239796257811563e-7,0.0024459341405227604,
0,0,244,412,1.0528876947525874e-7,0.0016366726913406636,
0,0,245,413,5.340481313306358e-8,0.0010574861402073829,
0,0,246,414,4.680015259584842e-7,0.002838020449894911,
0,0,247,415,5.3405443992917623e-8,0.001057493333401229,
0,0,248,416,6.026715201361144e-7,0.0032440894218942187,
0,0,249,417,7.119640565903657e-7,0.0036801684224522058,
0,0,250,418,5.3401962920078466e-8,0.0010574534497261405,
0,0,251,419,0.0000019929752274279133,0.006517793020454224,
0,0,252,421,2.0958526190104882e-7,0.002098096972483617,
0,0,253,423,5.3398410133198966e-8,0.0010574127889960009,
0,0,254,424,0.00000122864863373614,0.005658808050611879,
0,0,255,426,5.3406817014626414e-8,0.0010575106853220493,
0,0,256,429,1.0650675830582095e-7,0.0015415482074681006,
0,0,257,430,7.763614192110263e-7,0.003865991790201245,
0,0,258,431,4.834388636967867e-7,0.00320439928228796,
0,0,259,434,5.340696996883439e-8,0.0010575124212191275,
0,0,260,436,1.065075939922623e-7,0.0015415531573770526,
0,0,261,437,3.797624731191213e-7,0.0030808725617703517,
0,0,262,438,1.0528619589620596e-7,0.0016366407000272224,
0,0,263,439,5.3406107859630676e-8,0.0010575009829641856,
0,0,264,440,8.983259156404452e-7,0.00460015919106152,
0,0,265,441,0.0000024943549515514777,0.008716851583271385,
0,0,266,442,2.987101125567478e-7,0.002627902490313801,
0,0,267,443,0.000002142232253204772,0.006595895217396045,
0,0,268,445,5.959600623957528e-7,0.0038781075539979244,
0,0,269,446,2.931100481560505e-7,0.002624839178569101,
0,0,270,447,5.767009662775291e-7,0.003440981631813937,
0,0,271,448,5.340608916885989e-8,0.0010575002828548414,
0,0,272,449,5.340655459281315e-8,0.0010575061447425827,
0,0,273,450,5.3406401023812605e-8,0.0010575049473986404,
0,0,274,451,8.269816172186709e-7,0.00445285081807026,
0,0,275,452,1.0649779733500297e-7,0.0015414674112504446,
