latitude,longitude,objectid,id,nome,geoaprox,classporte,antrop,densidade,secundaria,st_area(shape),st_perimeter(shape),
0,0,130,130, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,1.8507057506483547e-7,0.003696393087689288,
0,0,131,131, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,6.862504077804617e-8,0.002720007449933955,
0,0,132,132, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000004392629363213186,0.00833764294917792,
0,0,133,133, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000032140721292251857,0.007376643594118513,
0,0,134,134, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,3.8165000510726677e-7,0.005765007283806119,
0,0,135,135, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,4.797110400219481e-7,0.004408590869650933,
0,0,136,136, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,1.4478861968575195e-7,0.0038109964069170353,
0,0,137,137, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,2.823156325472592e-7,0.004019124210570532,
0,0,138,138, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,5.898937469977792e-7,0.004298514801140234,
0,0,139,139, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,4.493388769064512e-7,0.0033388832312412344,
0,0,140,140, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,5.349550030594514e-7,0.003308769489427332,
0,0,142,142, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,9.782912293993613e-7,0.006402276361950979,
0,0,143,143, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,7.76486865676788e-7,0.004117889642244623,
0,0,144,144, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,8.109070829473024e-7,0.005112080815534706,
0,0,145,145, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,4.2923638512180653e-7,0.003078289565764844,
0,0,146,146, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,5.367065783893152e-7,0.0030394945386185354,
0,0,147,147, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,5.798917448710485e-7,0.00462920742045692,
0,0,148,148, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000010402346689207873,0.0049836822789035284,
0,0,149,149, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000014643069066607282,0.00780232189190236,
0,0,150,150, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000015649984877810747,0.008449167427324858,
0,0,151,151, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000001036734867145887,0.005220456746022739,
0,0,152,152, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,5.3971292858145624e-8,0.0017200394699712555,
0,0,153,153, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,4.382459011842159e-8,0.0010323207963035801,
0,0,154,154, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,8.106133410617736e-8,0.0018905808440130565,
0,0,155,155, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,3.506636319870425e-7,0.0025251631586171754,
0,0,156,156, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,3.8904172619776034e-7,0.0032514856087239533,
0,0,157,157, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,8.569473061336413e-7,0.004439783564006612,
0,0,158,158, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,2.392803399268248e-7,0.0021965527526822933,
0,0,159,159, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,2.210911759464695e-7,0.002435768383721771,
0,0,160,160, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0005599956585254709,0.47556204101582705,
0,0,161,161, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,6.422725322558027e-8,0.0011373048540950681,
0,0,165,165, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00003135949114220804,0.030413701287949593,
0,0,166,166, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.00008154574794936945,0.060756758893620845,
0,0,178,178, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000006934599617111866,0.01697656257262948,
0,0,179,179, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000008693804206210682,0.012138725620719909,
0,0,180,180, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000017383294504357593,0.007646435947378703,
0,0,181,181, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,2.654650560798166e-9,0.00025510500681895257,
0,0,182,182, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,2.992356795754101e-8,0.0007883531758251685,
0,0,183,183, ,0,Arbórea,Desconhecido,Desconhecida,Desconhecido,3.2334337088101933e-7,0.005706873167233299,
0,0,184,184, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,3.250043872184693e-7,0.002854134597916297,
0,0,167,167, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000040660563000632687,0.07020510265017314,
0,0,168,168, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00000607599264210798,0.0204530678389778,
0,0,169,169, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,3.1664144817740546e-7,0.0031727209111163143,
0,0,170,170, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,1.4420731239871615e-7,0.005693591848186545,
0,0,171,171, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,7.625002708575845e-8,0.0013947056661295946,
0,0,172,172, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,6.505980358948946e-8,0.0019181050797465648,
0,0,173,173, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000011570105343528396,0.006911834646397744,
0,0,174,174, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,4.591331910312117e-7,0.002651377071874657,
0,0,175,175, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00008198674830036613,0.15311044935384835,
0,0,176,176, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000003559635266064596,0.00847386970917627,
0,0,177,177, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,5.694041447159148e-7,0.006941438277743235,
0,0,185,185, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000002882083640979035,0.007812991785709862,
0,0,186,186, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0013227963355405153,0.3955056241350957,
0,0,187,187, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00013516951255613572,0.06123981158108154,
0,0,188,188, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00011560436305978925,0.08764843049047874,
0,0,189,189, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000034723736200515517,0.009021571963645942,
0,0,190,190, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0005981389578383252,0.1743897528908531,
0,0,197,197, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,2.7971291813945e-7,0.0033917201792202176,
0,0,496,496, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,7.474272307562146e-7,0.0037690934442630676,
